symbol,name,sector,source_etfs
MPT,MEDICAL PROPERTIES TRUST REIT INC,Real Estate,IJR
CUBI,CUSTOMERS BANCORP INC,Financials,IJR
FBNC,FIRST BANCORP,Financials,IJR
ABM,ABM INDUSTRIES INC,Industrials,IJR
ACHC,ACADIA HEALTHCARE COMPANY INC,Health Care,IJR
BBT,BEACON FINANCIAL CORP,Financials,IJR
VRRM,VERRA MOBILITY CORP CLASS A,Industrials,IJR
BANF,BANCFIRST CORP,Financials,IJR
NTCT,NETSCOUT SYSTEMS INC,Information Technology,IJR
KNTK,KINETIK HOLDINGS INC CLASS A,Energy,IJR
LMAT,LEMAITRE VASCULAR INC,Health Care,IJR
NBTB,NBT BANCORP INC,Financials,IJR
ICHR,ICHOR HOLDINGS LTD,Information Technology,IJR
ROG,ROGERS CORP,Information Technology,IJR
BANR,BANNER CORP,Financials,IJR
NSIT,INSIGHT ENTERPRISES INC,Information Technology,IJR
CWK,CUSHMAN AND WAKEFIELD LTD,Real Estate,IJR
MTX,MINERALS TECHNOLOGIES INC,Materials,IJR
PENN,PENN ENTERTAINMENT INC,Consumer Discretionary,IJR
ALRM,ALARM.COM HOLDINGS INC,Information Technology,IJR
PLUS,EPLUS,Information Technology,IJR
COHU,COHU INC,Information Technology,IJR
EXTR,EXTREME NETWORKS INC,Information Technology,IJR
WERN,WERNER ENTERPRISES INC,Industrials,IJR
NWN,NORTHWEST NATURAL HOLDING COMPANY,Utilities,IJR
BFH,BREAD FINANCIAL HOLDINGS INC,Financials,IJR
SRPT,SAREPTA THERAPEUTICS INC,Health Care,IJR
AMRX,AMNEAL PHARMACEUTICALS INC CLASS A,Health Care,IJR
FBK,FB FINANCIAL CORP,Financials,IJR
CSGS,CSG SYSTEMS INTERNATIONAL INC,Industrials,IJR
DXPE,DXP ENTERPRISES INC,Industrials,IJR
RCUS,ARCUS BIOSCIENCES INC,Health Care,IJR
NHC,NATIONAL HEALTHCARE CORP,Health Care,IJR
CALY,CALLAWAY GOLF COMPANY,Consumer Discretionary,IJR
UNIT,UNITI GROUP INC,Communication,IJR
SPSC,SPS COMMERCE INC,Information Technology,IJR
STC,STEWART INFO SERVICES CORP,Financials,IJR
DGII,DIGI INTERNATIONAL INC,Information Technology,IJR
HTO,H2O AMERICA,Utilities,IJR
DRH,DIAMONDROCK HOSPITALITY,Real Estate,IJR
GRBK,GREEN BRICK PARTNERS INC,Consumer Discretionary,IJR
CXW,CORECIVIC REIT INC,Industrials,IJR
NEOG,NEOGEN CORP,Health Care,IJR
NWBI,NORTHWEST BANCSHARES INC,Financials,IJR
AMR,ALPHA METALLURGICAL RESOURCE INC,Materials,IJR
TALO,TALOS ENERGY INC,Energy,IJR
VAC,MARRIOTT VACATIONS WORLDWIDE CORP,Consumer Discretionary,IJR
KMPR,KEMPER CORP,Financials,IJR
SPNT,SIRIUSPOINT LTD,Financials,IJR
ARR,ARMOUR RESIDENTIAL REIT INC,Financials,IJR
PRDO,PERDOCEO EDUCATION CORP,Consumer Discretionary,IJR
WT,WISDOMTREE INC,Financials,IJR
CNS,COHEN & STEERS INC,Financials,IJR
OFG,OFG BANCORP,Financials,IJR
EZPW,EZCORP NON VOTING INC CLASS A,Financials,IJR
NBHC,NATIONAL BANK HOLDINGS CORP CLASS,Financials,IJR
DXC,DXC TECHNOLOGY,Information Technology,IJR
FMC,FMC CORP,Materials,IJR
ATEN,A10 NETWORKS INC,Information Technology,IJR
FUN,SIX FLAGS ENTERTAINMENT CORP,Consumer Discretionary,IJR
MD,PEDIATRIX MEDICAL GROUP INC,Health Care,IJR
IOSP,INNOSPEC INC,Materials,IJR
EVTC,EVERTEC INC,Financials,IJR
FCF,FIRST COMMONWEALTH FINANCIAL CORP,Financials,IJR
CASH,PATHWARD FINANCIAL INC,Financials,IJR
ALG,ALAMO GROUP INC,Industrials,IJR
SHO,SUNSTONE HOTEL INVESTORS REIT INC,Real Estate,IJR
KWR,QUAKER HOUGHTON CORP,Materials,IJR
OMCL,OMNICELL INC,Health Care,IJR
EPAC,ENERPAC TOOL GROUP CORP CLASS A,Industrials,IJR
ECPG,ENCORE CAPITAL GROUP INC,Financials,IJR
RAMP,LIVERAMP HOLDINGS INC,Information Technology,IJR
EYE,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,IJR
HMN,HORACE MANN EDUCATORS CORP,Financials,IJR
GTY,GETTY REALTY REIT CORP,Real Estate,IJR
STRA,STRATEGIC EDUCATION INC,Consumer Discretionary,IJR
LTC,LTC PROPERTIES REIT INC,Real Estate,IJR
SEM,SELECT MEDICAL HOLDINGS CORP,Health Care,IJR
ZD,ZIFF DAVIS INC,Communication,IJR
CRVL,CORVEL CORP,Health Care,IJR
SONO,SONOS INC,Consumer Discretionary,IJR
AAMI,ACADIAN ASSET MANAGEMENT INC,Financials,IJR
CHCO,CITY HOLDING,Financials,IJR
ADUS,ADDUS HOMECARE CORP,Health Care,IJR
VCEL,VERICEL CORP,Health Care,IJR
STEL,STELLAR BANCORP INC,Financials,IJR
WD,WALKER & DUNLOP INC,Financials,IJR
